Mike Ogrysko
java SortComparison "ran50.dat" "NMS5ran50out.dat"
Reading "ran50.dat" and writing to "NMS5ran50out.dat"
Running a Natural MergeSort
MergeSort: Comparing 12 to 25
MergeSort: Comparing 20 to 12
MergeSort: Swapping 20 and 12
MergeSort: Comparing 20 to 25
MergeSort: Comparing 42 to 25
MergeSort: Swapping 42 and 25
MergeSort: Comparing 16 to 12
MergeSort: Swapping 16 and 12
MergeSort: Comparing 16 to 20
MergeSort: Comparing 36 to 20
MergeSort: Swapping 36 and 20
MergeSort: Comparing 36 to 25
MergeSort: Swapping 36 and 25
MergeSort: Comparing 36 to 42
MergeSort: Comparing 4 to 12
MergeSort: Comparing 9 to 12
MergeSort: Comparing 26 to 12
MergeSort: Swapping 26 and 12
MergeSort: Comparing 26 to 16
MergeSort: Swapping 26 and 16
MergeSort: Comparing 26 to 20
MergeSort: Swapping 26 and 20
MergeSort: Comparing 26 to 25
MergeSort: Swapping 26 and 25
MergeSort: Comparing 26 to 36
MergeSort: Comparing 15 to 4
MergeSort: Swapping 15 and 4
MergeSort: Comparing 15 to 9
MergeSort: Swapping 15 and 9
MergeSort: Comparing 15 to 12
MergeSort: Swapping 15 and 12
MergeSort: Comparing 15 to 16
MergeSort: Comparing 21 to 16
MergeSort: Swapping 21 and 16
MergeSort: Comparing 21 to 20
MergeSort: Swapping 21 and 20
MergeSort: Comparing 21 to 25
MergeSort: Comparing 43 to 25
MergeSort: Swapping 43 and 25
MergeSort: Comparing 43 to 26
MergeSort: Swapping 43 and 26
MergeSort: Comparing 43 to 36
MergeSort: Swapping 43 and 36
MergeSort: Comparing 43 to 42
MergeSort: Swapping 43 and 42
MergeSort: Comparing 8 to 4
MergeSort: Swapping 8 and 4
MergeSort: Comparing 8 to 9
MergeSort: Comparing 31 to 9
MergeSort: Swapping 31 and 9
MergeSort: Comparing 31 to 12
MergeSort: Swapping 31 and 12
MergeSort: Comparing 31 to 15
MergeSort: Swapping 31 and 15
MergeSort: Comparing 31 to 16
MergeSort: Swapping 31 and 16
MergeSort: Comparing 31 to 20
MergeSort: Swapping 31 and 20
MergeSort: Comparing 31 to 21
MergeSort: Swapping 31 and 21
MergeSort: Comparing 31 to 25
MergeSort: Swapping 31 and 25
MergeSort: Comparing 31 to 26
MergeSort: Swapping 31 and 26
MergeSort: Comparing 31 to 36
MergeSort: Comparing 3 to 4
MergeSort: Comparing 35 to 4
MergeSort: Swapping 35 and 4
MergeSort: Comparing 35 to 8
MergeSort: Swapping 35 and 8
MergeSort: Comparing 35 to 9
MergeSort: Swapping 35 and 9
MergeSort: Comparing 35 to 12
MergeSort: Swapping 35 and 12
MergeSort: Comparing 35 to 15
MergeSort: Swapping 35 and 15
MergeSort: Comparing 35 to 16
MergeSort: Swapping 35 and 16
MergeSort: Comparing 35 to 20
MergeSort: Swapping 35 and 20
MergeSort: Comparing 35 to 21
MergeSort: Swapping 35 and 21
MergeSort: Comparing 35 to 25
MergeSort: Swapping 35 and 25
MergeSort: Comparing 35 to 26
MergeSort: Swapping 35 and 26
MergeSort: Comparing 35 to 31
MergeSort: Swapping 35 and 31
MergeSort: Comparing 35 to 36
MergeSort: Comparing 41 to 36
MergeSort: Swapping 41 and 36
MergeSort: Comparing 41 to 42
MergeSort: Comparing 10 to 3
MergeSort: Swapping 10 and 3
MergeSort: Comparing 10 to 4
MergeSort: Swapping 10 and 4
MergeSort: Comparing 10 to 8
MergeSort: Swapping 10 and 8
MergeSort: Comparing 10 to 9
MergeSort: Swapping 10 and 9
MergeSort: Comparing 10 to 12
MergeSort: Comparing 32 to 12
MergeSort: Swapping 32 and 12
MergeSort: Comparing 32 to 15
MergeSort: Swapping 32 and 15
MergeSort: Comparing 32 to 16
MergeSort: Swapping 32 and 16
MergeSort: Comparing 32 to 20
MergeSort: Swapping 32 and 20
MergeSort: Comparing 32 to 21
MergeSort: Swapping 32 and 21
MergeSort: Comparing 32 to 25
MergeSort: Swapping 32 and 25
MergeSort: Comparing 32 to 26
MergeSort: Swapping 32 and 26
MergeSort: Comparing 32 to 31
MergeSort: Swapping 32 and 31
MergeSort: Comparing 32 to 35
MergeSort: Comparing 44 to 35
MergeSort: Swapping 44 and 35
MergeSort: Comparing 44 to 36
MergeSort: Swapping 44 and 36
MergeSort: Comparing 44 to 41
MergeSort: Swapping 44 and 41
MergeSort: Comparing 44 to 42
MergeSort: Swapping 44 and 42
MergeSort: Comparing 44 to 43
MergeSort: Swapping 44 and 43
MergeSort: Comparing 37 to 3
MergeSort: Swapping 37 and 3
MergeSort: Comparing 37 to 4
MergeSort: Swapping 37 and 4
