Mike Ogrysko
java SortComparison "rev50.dat" "NMS5rev50out.dat"
Reading "rev50.dat" and writing to "NMS5rev50out.dat"
Running a Natural MergeSort
MergeSort: Comparing 2 to 1
MergeSort: Swapping 2 and 1
MergeSort: Comparing 3 to 1
MergeSort: Swapping 3 and 1
MergeSort: Comparing 3 to 2
MergeSort: Swapping 3 and 2
MergeSort: Comparing 4 to 1
MergeSort: Swapping 4 and 1
MergeSort: Comparing 4 to 2
MergeSort: Swapping 4 and 2
MergeSort: Comparing 4 to 3
MergeSort: Swapping 4 and 3
MergeSort: Comparing 5 to 1
MergeSort: Swapping 5 and 1
MergeSort: Comparing 5 to 2
MergeSort: Swapping 5 and 2
MergeSort: Comparing 5 to 3
MergeSort: Swapping 5 and 3
MergeSort: Comparing 5 to 4
MergeSort: Swapping 5 and 4
MergeSort: Comparing 6 to 1
MergeSort: Swapping 6 and 1
MergeSort: Comparing 6 to 2
MergeSort: Swapping 6 and 2
MergeSort: Comparing 6 to 3
MergeSort: Swapping 6 and 3
MergeSort: Comparing 6 to 4
MergeSort: Swapping 6 and 4
MergeSort: Comparing 6 to 5
MergeSort: Swapping 6 and 5
MergeSort: Comparing 7 to 1
MergeSort: Swapping 7 and 1
MergeSort: Comparing 7 to 2
MergeSort: Swapping 7 and 2
MergeSort: Comparing 7 to 3
MergeSort: Swapping 7 and 3
MergeSort: Comparing 7 to 4
MergeSort: Swapping 7 and 4
MergeSort: Comparing 7 to 5
MergeSort: Swapping 7 and 5
MergeSort: Comparing 7 to 6
MergeSort: Swapping 7 and 6
MergeSort: Comparing 8 to 1
MergeSort: Swapping 8 and 1
MergeSort: Comparing 8 to 2
MergeSort: Swapping 8 and 2
MergeSort: Comparing 8 to 3
MergeSort: Swapping 8 and 3
MergeSort: Comparing 8 to 4
MergeSort: Swapping 8 and 4
MergeSort: Comparing 8 to 5
MergeSort: Swapping 8 and 5
MergeSort: Comparing 8 to 6
MergeSort: Swapping 8 and 6
MergeSort: Comparing 8 to 7
MergeSort: Swapping 8 and 7
MergeSort: Comparing 9 to 1
MergeSort: Swapping 9 and 1
MergeSort: Comparing 9 to 2
MergeSort: Swapping 9 and 2
MergeSort: Comparing 9 to 3
MergeSort: Swapping 9 and 3
MergeSort: Comparing 9 to 4
MergeSort: Swapping 9 and 4
MergeSort: Comparing 9 to 5
MergeSort: Swapping 9 and 5
MergeSort: Comparing 9 to 6
MergeSort: Swapping 9 and 6
MergeSort: Comparing 9 to 7
MergeSort: Swapping 9 and 7
MergeSort: Comparing 9 to 8
MergeSort: Swapping 9 and 8
MergeSort: Comparing 10 to 1
MergeSort: Swapping 10 and 1
MergeSort: Comparing 10 to 2
MergeSort: Swapping 10 and 2
MergeSort: Comparing 10 to 3
MergeSort: Swapping 10 and 3
MergeSort: Comparing 10 to 4
MergeSort: Swapping 10 and 4
MergeSort: Comparing 10 to 5
MergeSort: Swapping 10 and 5
MergeSort: Comparing 10 to 6
MergeSort: Swapping 10 and 6
MergeSort: Comparing 10 to 7
MergeSort: Swapping 10 and 7
MergeSort: Comparing 10 to 8
MergeSort: Swapping 10 and 8
MergeSort: Comparing 10 to 9
MergeSort: Swapping 10 and 9
MergeSort: Comparing 11 to 1
MergeSort: Swapping 11 and 1
MergeSort: Comparing 11 to 2
MergeSort: Swapping 11 and 2
MergeSort: Comparing 11 to 3
MergeSort: Swapping 11 and 3
MergeSort: Comparing 11 to 4
MergeSort: Swapping 11 and 4
MergeSort: Comparing 11 to 5
MergeSort: Swapping 11 and 5
MergeSort: Comparing 11 to 6
MergeSort: Swapping 11 and 6
MergeSort: Comparing 11 to 7
MergeSort: Swapping 11 and 7
MergeSort: Comparing 11 to 8
MergeSort: Swapping 11 and 8
MergeSort: Comparing 11 to 9
MergeSort: Swapping 11 and 9
MergeSort: Comparing 11 to 10
MergeSort: Swapping 11 and 10
MergeSort: Comparing 12 to 1
MergeSort: Swapping 12 and 1
MergeSort: Comparing 12 to 2
MergeSort: Swapping 12 and 2
MergeSort: Comparing 12 to 3
MergeSort: Swapping 12 and 3
MergeSort: Comparing 12 to 4
MergeSort: Swapping 12 and 4
MergeSort: Comparing 12 to 5
MergeSort: Swapping 12 and 5
MergeSort: Comparing 12 to 6
MergeSort: Swapping 12 and 6
MergeSort: Comparing 12 to 7
MergeSort: Swapping 12 and 7
MergeSort: Comparing 12 to 8
MergeSort: Swapping 12 and 8
MergeSort: Comparing 12 to 9
MergeSort: Swapping 12 and 9
MergeSort: Comparing 12 to 10
MergeSort: Swapping 12 and 10
MergeSort: Comparing 12 to 11
MergeSort: Swapping 12 and 11
MergeSort: Comparing 13 to 1
MergeSort: Swapping 13 and 1
MergeSort: Comparing 13 to 2
MergeSort: Swapping 13 and 2
MergeSort: Comparing 13 to 3
MergeSort: Swapping 13 and 3
MergeSort: Comparing 13 to 4
MergeSort: Swapping 13 and 4
MergeSort: Comparing 13 to 5
MergeSort: Swapping 13 and 5
MergeSort: Comparing 13 to 6
MergeSort: Swapping 13 and 6
MergeSort: Comparing 13 to 7
MergeSort: Swapping 13 and 7
MergeSort: Comparing 13 to 8
MergeSort: Swapping 13 and 8
MergeSort: Comparing 13 to 9
MergeSort: Swapping 13 and 9
MergeSort: Comparing 13 to 10
MergeSort: Swapping 13 and 10
MergeSort: Comparing 13 to 11
MergeSort: Swapping 13 and 11
MergeSort: Comparing 13 to 12
MergeSort: Swapping 13 and 12
MergeSort: Comparing 14 to 1
MergeSort: Swapping 14 and 1
MergeSort: Comparing 14 to 2
MergeSort: Swapping 14 and 2
MergeSort: Comparing 14 to 3
MergeSort: Swapping 14 and 3
MergeSort: Comparing 14 to 4
MergeSort: Swapping 14 and 4
MergeSort: Comparing 14 to 5
MergeSort: Swapping 14 and 5
MergeSort: Comparing 14 to 6
MergeSort: Swapping 14 and 6
MergeSort: Comparing 14 to 7
MergeSort: Swapping 14 and 7
MergeSort: Comparing 14 to 8
MergeSort: Swapping 14 and 8
MergeSort: Comparing 14 to 9
